# law_cat,crime_day,crime_month,duration_hours,suspect_age,suspect_sex,victim_age,victim_sex
2,31,3,1,35,1,55,1
2,27,3,1,35,1,35,0
1,25,3,2,35,0,35,0
2,25,3,1,65,1,55,1
2,24,3,1,55,0,35,1
1,19,3,1,35,1,55,1
1,28,3,1,35,1,55,0
1,30,3,2,55,0,55,0
3,25,3,1,35,1,55,1
1,27,3,1,35,1,35,1
2,30,3,2,35,1,35,1
3,29,3,1,35,1,35,0
1,31,3,2,55,0,55,0
1,28,3,1,22,1,22,0
2,14,2,889,35,0,22,0
3,28,3,1,35,1,65,0
1,23,3,71,35,1,35,1
3,30,3,32,35,1,35,0
1,29,3,2,35,0,35,1
2,31,3,1,65,0,65,0
3,21,3,2,55,1,35,0
2,30,3,2,35,0,35,0
2,25,3,2,35,1,35,0
1,27,3,1,55,1,55,1
1,24,3,1,35,1,35,0
1,28,3,1,35,0,35,0
3,22,3,2,35,1,35,1
1,30,3,1,22,1,55,1
3,21,3,2,35,1,35,0
2,26,3,1,55,1,55,0
1,26,3,2,35,1,35,1
2,28,3,1,22,1,35,1
1,28,2,8,55,1,55,1
2,29,3,1,65,0,55,0
3,28,3,2,35,1,35,0
1,24,3,1,35,1,35,1
3,27,3,1,55,1,22,1
2,23,3,1,55,1,35,1
3,28,3,1,55,1,35,1
2,22,3,1,55,1,55,1
3,28,3,2,35,1,55,1
1,25,3,1,55,1,35,0
2,23,3,2,35,0,35,1
1,24,3,1,35,1,35,0
3,26,3,1,35,1,35,0
3,27,3,1,35,0,55,0
1,23,3,1,35,1,35,0
1,24,3,2,55,1,35,1
3,27,1,1,55,1,55,0
3,28,3,1,22,0,35,1
2,29,3,1,35,1,35,1
1,25,3,22,55,1,35,0
1,31,3,1,55,0,35,0
1,9,3,2,35,1,35,0
2,21,3,1,55,1,35,0
2,27,3,2,22,1,22,0
1,28,3,2,35,1,35,0
1,27,3,1,22,0,22,0
2,27,3,1,35,1,35,1
3,24,3,1,35,1,55,0
2,30,3,9,35,1,35,1
1,23,3,1,22,0,55,0
1,28,3,1,35,1,22,0
3,29,3,22,55,1,35,0
3,28,3,1,55,0,22,1
2,20,3,1,35,1,35,0
1,27,3,3,22,1,22,0
2,25,3,80,35,0,55,0
1,29,3,1,55,1,55,1
2,22,3,2,22,1,22,0
1,29,3,1,35,1,35,0
3,29,3,2,22,0,65,0
2,13,2,1,55,1,35,0
1,30,3,1,22,1,35,1
1,31,3,1,35,1,35,0
3,24,3,4,55,1,18,0
1,27,3,1,55,1,55,0
1,31,3,1,35,1,65,1
1,1,4,720,22,1,18,0
2,24,3,1,35,0,35,0
2,29,3,2,55,1,55,0
1,25,3,1,55,1,55,0
3,30,3,1,18,1,18,1
2,24,3,1,35,0,55,1
3,25,3,1,35,1,35,0
3,22,3,2,35,1,65,1
1,31,3,1,35,1,22,0
3,27,3,1,35,1,35,1
3,28,3,1,35,1,35,1
1,23,3,2,35,0,35,0
1,15,3,2,35,0,35,0
1,23,3,1,35,0,35,0
2,1,3,721,35,1,35,0
