# precinct,law_category,crime_day,crime_month,suspect_age,suspect_sex,victim_age,victim_sex
34,VIOLATION,7,1,25-44,M,45-64,F
28,MISDEMEANOR,15,1,25-44,M,25-44,F
24,FELONY,9,1,18-24,M,18-24,F
34,MISDEMEANOR,7,1,25-44,M,18-24,F
14,MISDEMEANOR,15,1,25-44,M,45-64,M
9,MISDEMEANOR,16,1,25-44,M,25-44,F
34,MISDEMEANOR,11,1,18-24,M,18-24,F
18,FELONY,13,1,25-44,M,18-24,M
20,VIOLATION,8,1,25-44,F,25-44,F
20,FELONY,8,1,25-44,M,25-44,F
10,MISDEMEANOR,10,1,18-24,F,18-24,M
7,MISDEMEANOR,7,1,25-44,M,25-44,M
14,VIOLATION,31,12,25-44,M,25-44,F
25,FELONY,15,1,25-44,M,18-24,M
30,VIOLATION,12,1,<18,F,25-44,F
18,VIOLATION,16,1,25-44,M,25-44,F
13,MISDEMEANOR,9,1,45-64,F,25-44,F
32,MISDEMEANOR,8,1,25-44,M,45-64,F
25,MISDEMEANOR,7,1,25-44,M,25-44,F
28,MISDEMEANOR,7,1,25-44,M,65+,M
7,MISDEMEANOR,11,1,18-24,F,18-24,F
25,MISDEMEANOR,16,1,25-44,M,25-44,F
34,MISDEMEANOR,2,1,25-44,F,25-44,M
32,FELONY,1,1,18-24,M,25-44,F
10,VIOLATION,3,1,25-44,M,25-44,F
33,VIOLATION,4,1,45-64,M,45-64,F
30,MISDEMEANOR,6,1,25-44,M,18-24,F
14,MISDEMEANOR,1,1,25-44,F,25-44,M
32,FELONY,3,1,25-44,M,18-24,F
30,MISDEMEANOR,2,1,25-44,M,18-24,F
24,MISDEMEANOR,6,1,25-44,M,25-44,F
33,FELONY,30,12,45-64,F,25-44,F
9,MISDEMEANOR,3,1,45-64,M,45-64,F
17,MISDEMEANOR,4,1,25-44,M,25-44,F
13,MISDEMEANOR,3,1,25-44,M,25-44,F
28,MISDEMEANOR,4,1,25-44,M,18-24,F
17,VIOLATION,2,1,25-44,M,45-64,M
34,MISDEMEANOR,2,1,25-44,M,25-44,F
23,VIOLATION,6,1,45-64,F,18-24,F
19,FELONY,6,1,25-44,F,25-44,F
9,MISDEMEANOR,1,1,25-44,M,25-44,F
17,VIOLATION,6,1,25-44,M,25-44,F
1,VIOLATION,6,1,18-24,M,25-44,F
5,MISDEMEANOR,3,1,25-44,M,25-44,F
14,VIOLATION,1,1,18-24,M,18-24,F
24,VIOLATION,4,1,18-24,M,18-24,F
19,VIOLATION,25,12,45-64,F,45-64,M
18,VIOLATION,2,1,25-44,M,25-44,M
22,MISDEMEANOR,2,1,65+,M,25-44,M
14,VIOLATION,4,1,18-24,F,25-44,F
23,MISDEMEANOR,2,1,45-64,M,25-44,F
33,MISDEMEANOR,4,1,18-24,M,25-44,M
17,VIOLATION,3,1,25-44,M,25-44,M
23,VIOLATION,5,1,65+,F,45-64,F
6,MISDEMEANOR,6,1,25-44,M,25-44,M
18,FELONY,4,1,25-44,M,65+,M
25,FELONY,3,1,18-24,M,25-44,M
13,FELONY,5,1,18-24,M,25-44,M
34,MISDEMEANOR,1,1,25-44,M,45-64,M
34,FELONY,6,1,18-24,M,25-44,M
33,MISDEMEANOR,1,1,25-44,F,25-44,M
24,FELONY,30,12,25-44,M,65+,M
25,VIOLATION,2,1,18-24,F,18-24,M
28,MISDEMEANOR,3,1,18-24,F,45-64,F
33,MISDEMEANOR,1,1,45-64,M,<18,M
17,FELONY,30,12,25-44,M,25-44,M
18,FELONY,5,1,18-24,M,45-64,M
24,MISDEMEANOR,17,12,25-44,F,18-24,M
23,MISDEMEANOR,3,1,<18,M,<18,F
19,MISDEMEANOR,5,1,25-44,M,45-64,M
14,MISDEMEANOR,4,1,18-24,F,45-64,M
18,FELONY,2,1,45-64,M,65+,M
33,VIOLATION,1,1,25-44,M,45-64,M
7,MISDEMEANOR,1,1,18-24,F,18-24,M
23,MISDEMEANOR,5,1,25-44,F,45-64,F
23,VIOLATION,3,1,25-44,M,25-44,F
34,FELONY,3,1,25-44,M,65+,M
34,FELONY,31,12,25-44,F,<18,F
28,VIOLATION,1,1,65+,M,65+,F
24,VIOLATION,6,1,45-64,M,45-64,M
7,FELONY,1,1,25-44,M,25-44,F
18,MISDEMEANOR,24,12,18-24,M,18-24,F
32,FELONY,3,1,25-44,M,25-44,F
14,VIOLATION,4,1,25-44,F,25-44,F
13,VIOLATION,5,1,25-44,M,25-44,F
23,MISDEMEANOR,1,1,25-44,M,25-44,F
14,FELONY,3,1,25-44,M,65+,F
23,VIOLATION,1,1,25-44,M,45-64,F
13,MISDEMEANOR,2,1,18-24,F,25-44,F
14,FELONY,6,1,45-64,M,18-24,F
23,FELONY,4,1,25-44,M,25-44,F
32,MISDEMEANOR,3,1,18-24,M,45-64,M
1,MISDEMEANOR,3,1,45-64,M,45-64,M
30,MISDEMEANOR,3,1,45-64,M,25-44,F
28,VIOLATION,4,1,25-44,M,25-44,M
13,VIOLATION,27,12,45-64,F,45-64,F
25,VIOLATION,4,1,65+,M,25-44,F
14,FELONY,2,1,45-64,M,45-64,M
5,VIOLATION,6,1,18-24,M,<18,M
25,FELONY,6,1,25-44,M,25-44,M
26,MISDEMEANOR,1,12,25-44,F,25-44,F
10,VIOLATION,3,1,45-64,M,25-44,M
33,FELONY,2,1,45-64,M,25-44,M
9,MISDEMEANOR,4,1,45-64,M,45-64,F
32,VIOLATION,3,1,45-64,F,45-64,F
20,FELONY,1,1,25-44,F,25-44,M
33,MISDEMEANOR,6,1,25-44,M,25-44,F
20,FELONY,5,1,<18,M,<18,M
1,FELONY,2,1,25-44,F,45-64,F
7,MISDEMEANOR,22,12,18-24,M,45-64,M
23,FELONY,30,12,18-24,M,18-24,F
24,VIOLATION,2,1,25-44,M,25-44,F
32,MISDEMEANOR,3,1,18-24,M,25-44,F
17,FELONY,1,1,25-44,F,45-64,M
32,MISDEMEANOR,1,1,18-24,M,45-64,M
17,VIOLATION,5,1,25-44,M,25-44,M
30,VIOLATION,4,1,18-24,M,18-24,F
33,MISDEMEANOR,24,12,25-44,M,25-44,F
17,FELONY,3,1,18-24,M,25-44,F
32,FELONY,6,1,45-64,M,45-64,M
24,VIOLATION,6,1,25-44,M,25-44,F
34,MISDEMEANOR,1,1,18-24,M,45-64,M
9,FELONY,3,1,45-64,M,25-44,M
1,MISDEMEANOR,4,1,25-44,M,25-44,F
19,VIOLATION,1,1,65+,F,65+,F
18,MISDEMEANOR,2,1,25-44,M,45-64,F
32,VIOLATION,2,1,65+,M,45-64,M
28,MISDEMEANOR,1,1,25-44,M,25-44,M
10,FELONY,3,1,25-44,M,65+,F
23,VIOLATION,4,1,<18,F,45-64,F
24,VIOLATION,5,1,25-44,F,25-44,M
6,MISDEMEANOR,6,1,25-44,M,25-44,M
19,VIOLATION,5,1,<18,F,18-24,F
18,VIOLATION,6,1,25-44,M,45-64,F
23,MISDEMEANOR,6,1,45-64,M,45-64,F
19,MISDEMEANOR,4,1,25-44,M,25-44,M
25,VIOLATION,2,1,18-24,M,<18,F
24,VIOLATION,1,1,45-64,F,45-64,F
30,MISDEMEANOR,4,1,18-24,M,18-24,F
32,VIOLATION,1,1,25-44,M,25-44,F
33,VIOLATION,3,1,25-44,M,25-44,M
20,FELONY,3,1,25-44,M,18-24,F
19,FELONY,5,1,25-44,M,65+,M
28,MISDEMEANOR,5,1,25-44,F,25-44,F
33,MISDEMEANOR,4,1,25-44,F,25-44,M
25,MISDEMEANOR,5,1,45-64,M,<18,F
20,MISDEMEANOR,5,1,18-24,M,45-64,M
34,MISDEMEANOR,3,1,25-44,F,45-64,F
32,MISDEMEANOR,3,1,25-44,M,25-44,F
10,FELONY,6,1,25-44,F,65+,F
23,MISDEMEANOR,1,1,18-24,M,18-24,F
1,VIOLATION,1,1,25-44,M,25-44,M
17,VIOLATION,2,1,25-44,F,25-44,F
32,MISDEMEANOR,6,1,25-44,M,18-24,F
23,VIOLATION,5,1,18-24,M,25-44,F
10,VIOLATION,1,1,45-64,M,65+,F
25,FELONY,3,1,18-24,F,18-24,M
23,MISDEMEANOR,3,1,25-44,F,<18,M
30,FELONY,4,1,25-44,M,45-64,F
14,MISDEMEANOR,1,1,25-44,M,18-24,M
14,MISDEMEANOR,3,1,18-24,M,25-44,F
23,MISDEMEANOR,1,1,25-44,M,25-44,F
26,FELONY,31,12,45-64,M,25-44,F
28,VIOLATION,5,1,45-64,M,45-64,M
33,FELONY,1,1,25-44,M,25-44,M
28,MISDEMEANOR,2,1,45-64,M,25-44,F
23,VIOLATION,5,1,45-64,F,45-64,F
32,MISDEMEANOR,6,1,25-44,M,25-44,F
30,MISDEMEANOR,4,1,25-44,F,45-64,M
6,FELONY,5,1,25-44,M,18-24,F
19,MISDEMEANOR,2,1,18-24,M,45-64,F
25,MISDEMEANOR,3,1,25-44,M,25-44,F
25,MISDEMEANOR,6,1,25-44,M,18-24,F
1,VIOLATION,6,1,45-64,M,45-64,M
24,VIOLATION,3,1,45-64,M,45-64,M
19,VIOLATION,3,1,18-24,M,25-44,M
19,FELONY,2,1,65+,M,45-64,F
1,FELONY,4,1,45-64,M,45-64,F
33,FELONY,2,1,18-24,M,18-24,F
14,MISDEMEANOR,5,1,25-44,M,45-64,F
34,FELONY,3,1,25-44,F,45-64,M
10,VIOLATION,1,1,18-24,M,18-24,F
23,MISDEMEANOR,1,1,25-44,F,45-64,M
14,FELONY,6,1,25-44,M,25-44,F
34,MISDEMEANOR,5,1,25-44,F,25-44,F
30,VIOLATION,3,1,18-24,F,<18,F
32,MISDEMEANOR,3,1,18-24,M,18-24,F
6,VIOLATION,5,1,45-64,M,25-44,F
30,FELONY,1,1,25-44,M,25-44,F
32,VIOLATION,5,1,25-44,M,25-44,F
19,MISDEMEANOR,3,1,25-44,M,45-64,M
30,MISDEMEANOR,1,1,25-44,M,18-24,M
33,MISDEMEANOR,28,12,25-44,M,45-64,M
18,FELONY,3,1,18-24,M,25-44,M
18,FELONY,2,1,45-64,M,18-24,M
24,MISDEMEANOR,1,1,18-24,F,45-64,M
7,VIOLATION,2,1,45-64,F,25-44,F
20,FELONY,1,1,18-24,M,18-24,M
28,MISDEMEANOR,5,1,25-44,F,25-44,M
13,MISDEMEANOR,5,1,25-44,M,45-64,F
30,FELONY,16,10,25-44,M,<18,F
5,MISDEMEANOR,23,11,25-44,M,18-24,F
6,MISDEMEANOR,2,1,25-44,F,25-44,F
24,FELONY,4,1,25-44,M,45-64,F
14,MISDEMEANOR,4,1,25-44,M,45-64,M
19,FELONY,31,12,18-24,M,65+,M
14,MISDEMEANOR,2,1,25-44,M,25-44,M
33,FELONY,3,1,25-44,F,25-44,M
23,VIOLATION,5,1,18-24,M,45-64,F
14,MISDEMEANOR,3,11,18-24,M,18-24,F
30,VIOLATION,31,12,18-24,M,18-24,F
13,MISDEMEANOR,5,1,25-44,M,25-44,F
23,MISDEMEANOR,3,1,25-44,M,25-44,M
13,VIOLATION,3,1,25-44,F,65+,F
32,VIOLATION,3,1,25-44,M,45-64,M
20,MISDEMEANOR,30,9,45-64,F,25-44,F
1,VIOLATION,1,1,25-44,M,25-44,F
33,VIOLATION,1,1,25-44,M,25-44,F
24,MISDEMEANOR,1,1,45-64,M,18-24,F
10,FELONY,5,1,18-24,M,18-24,M
34,FELONY,1,1,25-44,M,25-44,F
26,MISDEMEANOR,2,1,45-64,M,45-64,F
6,FELONY,6,1,25-44,M,25-44,F
17,FELONY,5,1,25-44,M,25-44,F
32,VIOLATION,2,1,25-44,M,18-24,F
17,MISDEMEANOR,13,8,45-64,M,45-64,M
28,MISDEMEANOR,1,1,25-44,M,25-44,M
23,MISDEMEANOR,6,1,25-44,M,18-24,M
19,FELONY,1,1,25-44,F,65+,M
32,VIOLATION,1,1,25-44,M,45-64,F
28,MISDEMEANOR,6,1,<18,M,25-44,F
23,FELONY,3,1,18-24,M,25-44,F
28,MISDEMEANOR,6,1,25-44,M,45-64,M
5,VIOLATION,4,1,25-44,F,25-44,F
26,FELONY,5,1,18-24,M,18-24,F
19,VIOLATION,2,1,25-44,M,45-64,F
14,VIOLATION,6,1,18-24,M,65+,F
13,VIOLATION,1,1,25-44,F,65+,F
7,VIOLATION,4,1,25-44,M,25-44,F
18,VIOLATION,1,1,18-24,F,45-64,F
5,MISDEMEANOR,5,12,18-24,M,25-44,M
30,MISDEMEANOR,5,1,25-44,F,25-44,M
25,MISDEMEANOR,3,1,18-24,F,25-44,F
25,FELONY,30,12,25-44,M,45-64,M
13,FELONY,3,1,25-44,M,25-44,M
13,FELONY,1,5,25-44,M,25-44,F
9,MISDEMEANOR,3,1,25-44,M,45-64,M
14,MISDEMEANOR,5,1,25-44,M,18-24,F
18,FELONY,5,1,25-44,M,25-44,F
6,MISDEMEANOR,4,1,25-44,M,25-44,M
33,MISDEMEANOR,2,1,65+,M,25-44,M
19,VIOLATION,1,1,45-64,M,25-44,F
33,FELONY,4,1,18-24,M,18-24,F
34,MISDEMEANOR,2,1,45-64,M,45-64,F
34,FELONY,3,1,25-44,M,25-44,F
23,VIOLATION,2,1,25-44,M,18-24,M
14,MISDEMEANOR,3,1,25-44,M,45-64,F
13,MISDEMEANOR,1,1,45-64,M,45-64,F
34,FELONY,4,1,25-44,M,45-64,M
19,VIOLATION,5,1,45-64,F,45-64,F
32,FELONY,5,1,65+,F,65+,M
9,MISDEMEANOR,3,1,25-44,M,45-64,M
9,MISDEMEANOR,4,1,18-24,F,25-44,M
32,MISDEMEANOR,3,1,45-64,M,25-44,M
13,VIOLATION,1,1,25-44,M,25-44,F
25,FELONY,2,1,25-44,F,45-64,M
23,VIOLATION,6,1,25-44,M,25-44,F
19,MISDEMEANOR,6,1,25-44,M,25-44,M
34,VIOLATION,1,1,45-64,M,25-44,F
10,FELONY,3,1,25-44,M,25-44,M
24,VIOLATION,4,1,18-24,M,45-64,M
25,MISDEMEANOR,2,1,18-24,M,18-24,F
32,MISDEMEANOR,5,1,18-24,F,18-24,M
13,VIOLATION,1,1,25-44,M,25-44,F
30,MISDEMEANOR,3,1,45-64,M,25-44,F
32,FELONY,20,12,18-24,F,18-24,F
13,FELONY,1,1,25-44,M,25-44,F
22,FELONY,2,1,25-44,M,65+,M
23,FELONY,2,1,25-44,F,25-44,M
17,MISDEMEANOR,6,1,25-44,M,45-64,F
23,VIOLATION,6,1,65+,M,25-44,F
14,FELONY,31,12,45-64,F,25-44,F
23,VIOLATION,4,1,45-64,M,45-64,F
33,VIOLATION,1,1,18-24,M,25-44,F
25,VIOLATION,1,1,25-44,M,45-64,F
34,FELONY,4,1,25-44,M,45-64,F
30,MISDEMEANOR,4,1,25-44,M,25-44,F
28,VIOLATION,5,1,45-64,M,65+,F
33,VIOLATION,26,6,25-44,M,45-64,M
23,VIOLATION,29,6,25-44,M,25-44,F
7,MISDEMEANOR,26,6,25-44,M,25-44,F
14,FELONY,28,6,45-64,M,45-64,F
28,MISDEMEANOR,29,6,18-24,F,25-44,F
24,VIOLATION,20,6,25-44,M,25-44,F
20,VIOLATION,21,6,45-64,M,45-64,M
34,MISDEMEANOR,28,6,25-44,M,45-64,M
18,MISDEMEANOR,25,6,65+,M,25-44,F
13,VIOLATION,28,6,25-44,M,18-24,M
32,FELONY,17,6,25-44,M,25-44,M
1,MISDEMEANOR,24,6,25-44,M,25-44,F
23,FELONY,21,6,25-44,M,18-24,M
25,FELONY,25,6,25-44,M,25-44,F
24,VIOLATION,22,6,<18,M,<18,M
17,MISDEMEANOR,29,6,25-44,M,25-44,F
23,MISDEMEANOR,20,6,<18,M,18-24,F
19,MISDEMEANOR,27,6,25-44,M,25-44,F
6,MISDEMEANOR,29,6,25-44,M,25-44,F
7,MISDEMEANOR,23,6,25-44,M,25-44,F
26,MISDEMEANOR,26,6,25-44,M,25-44,M
34,VIOLATION,29,6,18-24,M,18-24,F
14,MISDEMEANOR,30,6,25-44,M,45-64,M
34,VIOLATION,29,6,45-64,M,45-64,F
6,MISDEMEANOR,25,6,25-44,M,45-64,F
23,MISDEMEANOR,27,6,25-44,M,25-44,F
18,FELONY,30,6,25-44,M,25-44,M
14,FELONY,24,6,45-64,M,45-64,M
20,VIOLATION,28,6,25-44,M,65+,M
5,MISDEMEANOR,27,6,45-64,M,25-44,F
14,FELONY,25,6,25-44,M,25-44,M
13,FELONY,23,6,25-44,M,25-44,M
14,FELONY,25,6,25-44,M,<18,M
7,FELONY,25,6,25-44,M,25-44,F
18,MISDEMEANOR,22,6,25-44,M,18-24,F
18,FELONY,28,6,<18,M,25-44,M
18,FELONY,30,6,25-44,M,25-44,M
9,VIOLATION,30,6,45-64,F,25-44,M
10,VIOLATION,22,6,45-64,M,25-44,M
1,MISDEMEANOR,26,6,25-44,M,25-44,F
7,FELONY,27,6,25-44,M,25-44,M
6,FELONY,29,6,18-24,M,18-24,F
24,FELONY,25,6,25-44,M,18-24,M
30,FELONY,27,6,25-44,F,25-44,M
9,MISDEMEANOR,19,6,25-44,M,45-64,F
32,FELONY,17,5,<18,M,<18,F
32,MISDEMEANOR,28,6,25-44,M,25-44,F
23,MISDEMEANOR,30,6,<18,F,<18,F
14,VIOLATION,25,6,<18,M,25-44,M
28,MISDEMEANOR,21,6,45-64,M,45-64,F
28,MISDEMEANOR,18,6,25-44,F,45-64,F
24,FELONY,21,6,<18,M,25-44,M
7,VIOLATION,10,6,25-44,M,25-44,F
9,MISDEMEANOR,29,6,25-44,M,45-64,M
25,MISDEMEANOR,26,6,18-24,M,25-44,M
17,VIOLATION,24,6,25-44,F,65+,M
6,MISDEMEANOR,25,6,25-44,M,45-64,F
28,FELONY,28,6,25-44,M,25-44,M
7,MISDEMEANOR,24,6,45-64,M,25-44,F
23,VIOLATION,25,6,45-64,M,45-64,M
5,VIOLATION,29,6,18-24,M,25-44,M
19,MISDEMEANOR,23,6,25-44,M,25-44,M
5,VIOLATION,21,6,45-64,M,65+,M
7,MISDEMEANOR,28,6,65+,F,45-64,F
9,MISDEMEANOR,25,6,25-44,F,45-64,M
7,MISDEMEANOR,27,6,25-44,F,25-44,M
6,FELONY,25,6,45-64,M,25-44,M
20,MISDEMEANOR,30,6,45-64,M,45-64,F
13,MISDEMEANOR,23,6,<18,F,45-64,M
28,VIOLATION,30,6,65+,M,25-44,M
23,MISDEMEANOR,22,6,25-44,F,25-44,M
25,MISDEMEANOR,24,6,25-44,M,45-64,F
28,FELONY,30,6,25-44,M,25-44,F
28,MISDEMEANOR,29,6,18-24,M,<18,F
14,MISDEMEANOR,29,6,25-44,M,25-44,M
10,FELONY,24,6,25-44,M,25-44,F
13,MISDEMEANOR,27,6,<18,F,25-44,F
1,MISDEMEANOR,28,6,18-24,M,25-44,M
26,MISDEMEANOR,22,6,45-64,F,18-24,F
23,MISDEMEANOR,28,6,25-44,M,18-24,F
10,MISDEMEANOR,28,6,25-44,M,45-64,M
14,VIOLATION,23,6,25-44,M,45-64,M
19,VIOLATION,27,6,25-44,F,65+,F
34,MISDEMEANOR,27,6,25-44,M,25-44,F
6,MISDEMEANOR,30,6,18-24,M,18-24,M
5,MISDEMEANOR,23,6,25-44,M,45-64,M
14,MISDEMEANOR,27,6,25-44,M,18-24,M
1,MISDEMEANOR,24,6,25-44,M,45-64,M
13,MISDEMEANOR,25,6,18-24,M,45-64,M
32,MISDEMEANOR,24,6,18-24,M,18-24,F
14,MISDEMEANOR,24,6,45-64,M,45-64,F
30,VIOLATION,27,6,45-64,F,25-44,M
19,VIOLATION,26,6,25-44,M,25-44,F
17,VIOLATION,25,6,25-44,M,25-44,F
6,VIOLATION,28,6,25-44,M,45-64,F
13,FELONY,16,6,<18,M,25-44,F
28,VIOLATION,22,6,45-64,M,45-64,F
6,VIOLATION,30,6,25-44,M,65+,M
17,FELONY,20,6,18-24,M,45-64,M
17,MISDEMEANOR,2,6,18-24,M,18-24,F
10,FELONY,29,6,25-44,M,25-44,F
23,MISDEMEANOR,25,6,25-44,M,45-64,F
26,FELONY,25,6,65+,M,45-64,M
20,VIOLATION,30,6,25-44,M,65+,M
14,MISDEMEANOR,27,6,18-24,M,18-24,M
28,FELONY,25,6,45-64,M,45-64,M
28,FELONY,23,6,25-44,M,25-44,F
19,MISDEMEANOR,22,6,18-24,F,45-64,F
24,VIOLATION,22,6,25-44,F,25-44,M
18,FELONY,22,6,25-44,M,25-44,M
5,FELONY,27,6,25-44,M,18-24,M
34,FELONY,28,6,18-24,M,18-24,M
10,FELONY,26,6,25-44,M,25-44,M
18,MISDEMEANOR,25,6,18-24,F,18-24,F
24,FELONY,27,6,25-44,M,18-24,F
13,MISDEMEANOR,27,6,25-44,M,18-24,F
23,VIOLATION,29,6,25-44,M,25-44,M
24,MISDEMEANOR,22,6,25-44,M,25-44,F
26,VIOLATION,22,6,25-44,F,65+,F
13,FELONY,26,6,25-44,M,25-44,F
9,MISDEMEANOR,22,6,25-44,M,25-44,F
20,FELONY,24,6,45-64,F,65+,M
23,FELONY,25,6,25-44,M,<18,F
28,MISDEMEANOR,28,6,25-44,F,25-44,F
25,VIOLATION,28,6,25-44,M,25-44,F
19,MISDEMEANOR,24,6,45-64,M,45-64,M
25,MISDEMEANOR,28,6,25-44,M,25-44,F
6,FELONY,30,6,25-44,M,65+,M
23,FELONY,22,6,25-44,M,18-24,F
18,FELONY,6,6,25-44,M,<18,F
18,MISDEMEANOR,25,6,25-44,F,25-44,M
5,MISDEMEANOR,25,6,25-44,M,25-44,F
25,FELONY,26,6,18-24,M,25-44,F
30,MISDEMEANOR,25,6,45-64,M,45-64,F
24,VIOLATION,30,6,45-64,M,45-64,M
30,MISDEMEANOR,23,6,18-24,M,18-24,M
7,FELONY,29,6,25-44,M,25-44,F
14,FELONY,20,6,25-44,F,25-44,M
25,VIOLATION,25,6,25-44,M,25-44,F
32,FELONY,22,6,18-24,M,18-24,M
7,MISDEMEANOR,26,6,25-44,M,18-24,F
6,FELONY,27,6,25-44,M,25-44,M
10,VIOLATION,21,6,25-44,M,25-44,F
25,MISDEMEANOR,25,6,25-44,M,18-24,M
30,FELONY,30,6,25-44,M,25-44,M
32,MISDEMEANOR,30,6,45-64,M,25-44,F
10,MISDEMEANOR,26,6,25-44,M,25-44,M
18,MISDEMEANOR,24,6,25-44,M,25-44,M
14,MISDEMEANOR,23,6,25-44,M,25-44,M
18,FELONY,30,6,25-44,M,25-44,F
14,FELONY,29,6,25-44,M,25-44,M
13,MISDEMEANOR,24,6,18-24,M,45-64,F
34,MISDEMEANOR,24,6,65+,M,25-44,M
17,MISDEMEANOR,22,6,25-44,M,25-44,M
20,FELONY,25,6,45-64,F,45-64,F
10,VIOLATION,22,6,25-44,F,25-44,M
25,MISDEMEANOR,27,6,25-44,M,45-64,F
6,VIOLATION,20,6,45-64,F,25-44,M
14,FELONY,26,6,45-64,M,45-64,M
30,VIOLATION,24,6,18-24,M,18-24,F
10,VIOLATION,17,6,45-64,F,<18,F
24,VIOLATION,30,6,45-64,F,25-44,M
32,VIOLATION,16,6,25-44,F,25-44,M
24,FELONY,28,6,45-64,M,45-64,M
6,MISDEMEANOR,30,6,18-24,M,25-44,F
25,MISDEMEANOR,25,6,18-24,M,25-44,M
25,VIOLATION,29,6,25-44,M,25-44,F
7,VIOLATION,28,6,45-64,F,25-44,F
14,MISDEMEANOR,26,6,25-44,M,25-44,M
13,MISDEMEANOR,29,6,25-44,F,25-44,M
13,MISDEMEANOR,29,6,18-24,M,25-44,M
30,MISDEMEANOR,30,6,45-64,M,25-44,F
23,MISDEMEANOR,24,6,25-44,M,25-44,M
14,MISDEMEANOR,22,6,45-64,M,65+,F
23,VIOLATION,27,6,25-44,M,25-44,F
23,VIOLATION,29,6,25-44,M,65+,F
7,MISDEMEANOR,26,3,25-44,M,25-44,F
10,FELONY,21,6,25-44,F,18-24,F
23,VIOLATION,25,6,25-44,M,45-64,M
24,MISDEMEANOR,27,6,25-44,M,25-44,M
10,MISDEMEANOR,29,6,25-44,M,45-64,F
7,FELONY,27,6,65+,F,65+,M
14,MISDEMEANOR,28,6,25-44,F,25-44,F
13,FELONY,23,6,25-44,M,25-44,M
24,FELONY,23,6,65+,M,65+,F
28,MISDEMEANOR,30,6,18-24,F,18-24,F
23,VIOLATION,23,6,25-44,M,25-44,F
6,MISDEMEANOR,28,6,25-44,M,25-44,F
18,MISDEMEANOR,22,6,25-44,M,25-44,M
23,MISDEMEANOR,26,6,25-44,F,25-44,M
28,FELONY,22,6,45-64,M,25-44,F
25,MISDEMEANOR,26,6,25-44,F,25-44,F
19,VIOLATION,24,6,25-44,M,25-44,F
34,FELONY,20,6,45-64,M,65+,F
23,FELONY,28,6,45-64,M,25-44,F
23,MISDEMEANOR,23,6,25-44,M,25-44,M
10,FELONY,26,6,25-44,F,25-44,F
19,MISDEMEANOR,27,6,25-44,M,25-44,M
13,MISDEMEANOR,26,6,25-44,M,25-44,F
19,FELONY,23,6,25-44,M,25-44,M
7,FELONY,23,6,18-24,M,25-44,M
18,VIOLATION,25,6,25-44,M,45-64,M
19,MISDEMEANOR,30,6,45-64,F,25-44,F
28,VIOLATION,29,6,25-44,M,65+,M
25,MISDEMEANOR,26,6,18-24,M,25-44,M
18,MISDEMEANOR,28,6,25-44,M,25-44,M
32,MISDEMEANOR,26,6,25-44,M,25-44,F
30,FELONY,27,6,45-64,M,25-44,F
14,MISDEMEANOR,27,6,25-44,M,18-24,M
19,VIOLATION,26,6,25-44,M,25-44,F
34,MISDEMEANOR,26,6,18-24,M,25-44,M
13,FELONY,24,6,18-24,M,25-44,M
17,MISDEMEANOR,22,6,25-44,M,45-64,M
9,MISDEMEANOR,27,6,25-44,F,18-24,F
5,VIOLATION,18,6,25-44,M,45-64,M
13,MISDEMEANOR,21,6,25-44,M,25-44,M
24,VIOLATION,28,6,45-64,M,45-64,F
32,MISDEMEANOR,23,6,45-64,F,25-44,F
33,MISDEMEANOR,27,6,25-44,M,25-44,F
34,FELONY,24,6,18-24,M,18-24,F
34,MISDEMEANOR,2,6,25-44,M,45-64,F
32,VIOLATION,29,6,45-64,M,45-64,F
28,VIOLATION,28,6,45-64,M,25-44,F
25,VIOLATION,24,6,25-44,M,25-44,F
7,MISDEMEANOR,23,6,25-44,M,25-44,F
30,VIOLATION,21,6,45-64,M,25-44,M
34,FELONY,24,6,25-44,M,25-44,F
32,FELONY,28,6,18-24,M,18-24,F
28,VIOLATION,19,6,25-44,F,25-44,F
14,MISDEMEANOR,26,6,45-64,M,18-24,F
10,FELONY,25,6,<18,F,65+,F
32,FELONY,26,6,25-44,M,25-44,F
14,FELONY,30,6,45-64,M,25-44,M
34,MISDEMEANOR,27,6,45-64,M,25-44,M
10,MISDEMEANOR,21,6,18-24,F,18-24,F
18,VIOLATION,22,6,25-44,M,45-64,F
32,MISDEMEANOR,29,6,25-44,F,25-44,M
9,FELONY,26,6,25-44,M,25-44,M
13,MISDEMEANOR,24,6,45-64,F,25-44,F
7,MISDEMEANOR,26,6,25-44,F,25-44,F
23,MISDEMEANOR,28,6,45-64,F,25-44,F
32,MISDEMEANOR,18,6,25-44,M,25-44,F
13,MISDEMEANOR,23,6,25-44,F,25-44,M
24,VIOLATION,22,6,25-44,M,45-64,M
14,FELONY,25,6,25-44,F,18-24,F
6,MISDEMEANOR,27,6,18-24,M,25-44,M
23,VIOLATION,25,6,45-64,M,25-44,F
1,MISDEMEANOR,23,6,25-44,M,18-24,M
26,FELONY,29,6,45-64,M,25-44,M
34,MISDEMEANOR,27,6,25-44,M,18-24,F
26,VIOLATION,27,6,45-64,F,25-44,F
30,VIOLATION,26,6,18-24,F,25-44,M
28,MISDEMEANOR,29,6,25-44,M,45-64,M
25,FELONY,27,6,45-64,F,45-64,M
23,FELONY,23,6,45-64,F,25-44,F
33,FELONY,28,6,25-44,M,25-44,M
7,VIOLATION,20,6,25-44,M,25-44,F
