# precinct,law_category,crime_day,crime_month,suspect_age,suspect_sex,victim_age,victim_sex
19,FELONY,15,3,25-44,M,45-64,M
18,MISDEMEANOR,23,3,25-44,M,25-44,M
25,FELONY,20,3,25-44,M,25-44,F
34,VIOLATION,29,3,25-44,M,25-44,M
7,FELONY,19,2,45-64,M,45-64,F
18,MISDEMEANOR,18,2,25-44,M,<18,M
34,FELONY,31,8,18-24,F,25-44,F
28,MISDEMEANOR,25,3,25-44,M,45-64,M
13,FELONY,23,3,25-44,M,45-64,M
24,MISDEMEANOR,28,3,25-44,F,25-44,M
6,FELONY,30,3,45-64,F,45-64,M
6,FELONY,30,3,25-44,M,65+,M
13,FELONY,25,3,25-44,M,45-64,F
19,VIOLATION,30,3,25-44,M,25-44,M
13,VIOLATION,22,3,25-44,M,25-44,F
9,MISDEMEANOR,30,3,25-44,M,45-64,M
19,FELONY,30,3,25-44,M,25-44,M
28,VIOLATION,31,3,25-44,M,25-44,M
19,MISDEMEANOR,24,3,45-64,M,25-44,F
26,MISDEMEANOR,30,3,25-44,F,25-44,F
7,MISDEMEANOR,30,3,25-44,M,25-44,F
5,MISDEMEANOR,27,3,25-44,F,18-24,F
10,MISDEMEANOR,31,3,18-24,F,18-24,F
10,MISDEMEANOR,27,3,18-24,M,45-64,M
28,FELONY,23,3,45-64,F,25-44,M
33,MISDEMEANOR,27,3,25-44,M,25-44,M
33,VIOLATION,24,3,25-44,M,25-44,M
23,MISDEMEANOR,22,3,25-44,M,65+,F
30,VIOLATION,27,3,25-44,M,25-44,F
10,FELONY,26,3,45-64,M,45-64,F
34,VIOLATION,26,3,18-24,M,<18,F
9,FELONY,10,11,18-24,M,18-24,F
28,MISDEMEANOR,24,3,25-44,M,45-64,M
13,MISDEMEANOR,26,3,18-24,M,25-44,M
13,MISDEMEANOR,30,3,25-44,M,45-64,M
26,MISDEMEANOR,27,3,45-64,F,25-44,F
13,VIOLATION,25,3,25-44,M,65+,M
32,MISDEMEANOR,22,3,45-64,M,25-44,F
14,MISDEMEANOR,28,3,25-44,M,45-64,F
10,VIOLATION,20,3,45-64,F,45-64,M
25,FELONY,17,2,25-44,F,25-44,M
17,MISDEMEANOR,29,3,45-64,M,18-24,M
6,VIOLATION,27,3,25-44,M,25-44,M
5,MISDEMEANOR,24,3,25-44,M,18-24,F
7,VIOLATION,28,3,45-64,F,18-24,M
23,MISDEMEANOR,26,3,25-44,M,25-44,F
17,MISDEMEANOR,27,3,25-44,M,25-44,F
25,VIOLATION,17,3,25-44,M,25-44,M
33,MISDEMEANOR,24,3,45-64,M,25-44,F
6,VIOLATION,23,3,18-24,M,25-44,M
24,VIOLATION,26,3,25-44,M,25-44,F
34,FELONY,24,3,18-24,M,18-24,F
30,VIOLATION,29,3,25-44,M,25-44,F
26,MISDEMEANOR,29,3,25-44,M,18-24,F
23,FELONY,21,3,25-44,F,18-24,M
14,VIOLATION,22,3,25-44,M,25-44,F
14,FELONY,30,3,25-44,M,25-44,M
26,MISDEMEANOR,28,3,25-44,M,18-24,F
14,VIOLATION,28,3,45-64,M,18-24,M
25,VIOLATION,26,3,25-44,M,45-64,M
34,VIOLATION,24,3,25-44,M,18-24,F
18,VIOLATION,31,3,25-44,M,45-64,M
34,VIOLATION,27,3,25-44,M,25-44,F
13,MISDEMEANOR,25,3,25-44,F,25-44,F
17,VIOLATION,25,3,65+,M,45-64,M
20,VIOLATION,24,3,45-64,F,25-44,M
1,MISDEMEANOR,19,3,25-44,M,45-64,M
20,MISDEMEANOR,28,3,25-44,M,45-64,F
34,MISDEMEANOR,30,3,45-64,F,45-64,F
34,FELONY,25,3,25-44,M,45-64,M
18,MISDEMEANOR,27,3,25-44,M,25-44,M
28,VIOLATION,30,3,25-44,M,25-44,M
19,FELONY,29,3,25-44,M,25-44,F
9,MISDEMEANOR,31,3,45-64,F,45-64,F
34,MISDEMEANOR,28,3,18-24,M,18-24,F
6,VIOLATION,14,2,25-44,F,18-24,F
32,FELONY,28,3,25-44,M,65+,F
32,MISDEMEANOR,23,3,25-44,M,25-44,M
17,FELONY,30,3,25-44,M,25-44,F
9,MISDEMEANOR,29,3,25-44,F,25-44,M
24,VIOLATION,31,3,65+,F,65+,F
14,FELONY,21,3,45-64,M,25-44,F
34,VIOLATION,30,3,25-44,F,25-44,F
14,VIOLATION,25,3,25-44,M,25-44,F
6,MISDEMEANOR,27,3,45-64,M,45-64,M
13,MISDEMEANOR,24,3,25-44,M,25-44,F
9,MISDEMEANOR,28,3,25-44,F,25-44,F
13,FELONY,22,3,25-44,M,25-44,M
23,MISDEMEANOR,30,3,18-24,M,45-64,M
5,FELONY,21,3,25-44,M,25-44,F
20,VIOLATION,26,3,45-64,M,45-64,F
20,MISDEMEANOR,26,3,25-44,M,25-44,M
7,VIOLATION,28,3,18-24,M,25-44,M
28,MISDEMEANOR,28,2,45-64,M,45-64,M
6,VIOLATION,29,3,65+,F,45-64,F
7,FELONY,28,3,25-44,M,25-44,F
14,MISDEMEANOR,24,3,25-44,M,25-44,M
18,FELONY,27,3,45-64,M,18-24,M
5,VIOLATION,23,3,45-64,M,25-44,M
18,FELONY,28,3,45-64,M,25-44,M
28,VIOLATION,22,3,45-64,M,45-64,M
25,FELONY,28,3,25-44,M,45-64,M
33,MISDEMEANOR,25,3,45-64,M,25-44,F
28,VIOLATION,23,3,25-44,F,25-44,M
34,MISDEMEANOR,24,3,25-44,M,25-44,F
25,FELONY,26,3,25-44,M,25-44,F
26,FELONY,27,3,25-44,F,45-64,F
17,MISDEMEANOR,23,3,25-44,M,25-44,F
30,MISDEMEANOR,24,3,45-64,M,25-44,M
7,FELONY,27,1,45-64,M,45-64,F
34,FELONY,28,3,18-24,F,25-44,M
13,VIOLATION,29,3,25-44,M,25-44,M
24,MISDEMEANOR,25,3,45-64,M,25-44,F
14,MISDEMEANOR,31,3,45-64,F,25-44,F
34,MISDEMEANOR,9,3,25-44,M,25-44,F
30,VIOLATION,21,3,45-64,M,25-44,F
18,VIOLATION,27,3,18-24,M,18-24,F
24,MISDEMEANOR,28,3,25-44,M,25-44,F
20,MISDEMEANOR,27,3,18-24,F,18-24,F
24,VIOLATION,27,3,25-44,M,25-44,M
24,FELONY,24,3,25-44,M,45-64,F
34,VIOLATION,30,3,25-44,M,25-44,M
14,MISDEMEANOR,23,3,18-24,F,45-64,F
26,MISDEMEANOR,28,3,25-44,M,18-24,F
14,FELONY,29,3,45-64,M,25-44,F
19,FELONY,28,3,45-64,F,18-24,M
